id,query,status,date,timestamp,resp_text,body
Q-001,List VMs with CPU utilization above 80% in the last 1 hour,500,2025-10-02,2025-10-02 14:37:27,,"{""message"":""An unexpected internal server error occurred. Please try again later."",""code"":500,""error_type"":""Internal Server Error""}"
Q-002,Which users have admin/VM operator roles on VMs,500,2025-10-02,2025-10-02 14:37:28,,"{""message"":""An unexpected internal server error occurred. Please try again later."",""code"":500,""error_type"":""Internal Server Error""}"
Q-003,Show which users accessed VMs in last 30 days,500,2025-10-02,2025-10-02 14:37:29,,"{""message"":""An unexpected internal server error occurred. Please try again later."",""code"":500,""error_type"":""Internal Server Error""}"
