id,query,status,date,timestamp,resp_text,body
Q-001,List VMs with CPU utilization above 80% in the last 1 hour,500,2025-10-02,2025-10-02 14:22:39,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-002,Which users have admin/VM operator roles on VMs,500,2025-10-02,2025-10-02 14:22:39,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-003,Show which users accessed VMs in last 30 days,500,2025-10-02,2025-10-02 14:22:40,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-004,List VMs and their owner users,500,2025-10-02,2025-10-02 14:22:41,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-005,Show VMs without Per-VM EVC configured where cross-cluster mobility is needed,500,2025-10-02,2025-10-02 14:22:42,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-006,List VM hardware version,500,2025-10-02,2025-10-02 14:22:42,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-007,Show uptime for each VM,500,2025-10-02,2025-10-02 14:22:43,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-008,Report VMs with RDMs or mounted ISOs (migration blockers),500,2025-10-02,2025-10-02 14:22:44,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-009,Show CPU and memory trend for VM web-prod-01 in last 24 hours,500,2025-10-02,2025-10-02 14:22:45,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
Q-010,Give me a report of all VMs with their IP addresses,500,2025-10-02,2025-10-02 14:22:46,,"{""message"": ""An unexpected internal server error occurred. Please try again later."", ""code"": 500, ""error_type"": ""Internal Server Error""}"
